Week,Actual,Forecasted Value,Series 3,Week no
Wk  1,2890.714286,2426.83925,2, 1
Wk  2,2958.285714,2844.180279,2, 2
Wk  3,2890.142857,2791.728579,3, 3
Wk  4,2937.857143,2874.337311,5, 4
Wk  5,2891.428571,2782.668877,, 5
Wk  6,2801.142857,3268.163563,, 6
Wk  7,2785.714286,3222.154705,, 7
Wk  8,2824.571429,2760.184299,, 8
Wk  9,2862.285714,2640.727113,, 9
Wk  10,2874.142857,2908.467889,, 10
Wk  11,2809.428571,2608.074966,, 11
Wk  12,2815.857143,2318.045448,, 12
Wk  13,2913,3144.339754,, 13
Wk  14,2950.857143,3400.843621,, 14
Wk  15,2878,2960.447822,, 15
Wk  16,2916.285714,2677.178356,, 16
Wk  17,2920.571429,2648.209736,, 17
Wk  18,2956,2676.090215,, 18
Wk  19,3048.142857,2790.47503,, 19
Wk  20,3079,3353.810583,, 20
Wk  21,2942,3158.036952,, 21
Wk  22,2894,3100.962966,, 22
Wk  23,2817.428571,2776.431569,, 23
Wk  24,2790.857143,2911.522052,, 24
Wk  25,2751.714286,3142.142624,, 25
Wk  26,2667.857143,2885.722838,, 26
Wk  27,2636.428571,2698.321502,, 27
Wk  28,2752.857143,2732.157798,, 28
Wk  29,2827.857143,2634.702651,, 29
Wk  30,2873.428571,2866.792012,, 30
Wk  31,2895,2604.848287,, 31
Wk  32,2880.857143,2700.990745,, 32
Wk  33,2880.857143,2778.0549,, 33
Wk  34,2854,3277.210803,, 34
Wk  35,2895.714286,3232.255614,, 35
Wk  36,2936.571429,2959.863196,, 36
Wk  37,2911.571429,2662.125368,, 37
Wk  38,2945.285714,2571.033322,, 38
Wk  39,2980.142857,2679.17839,, 39
Wk  40,2997.142857,2695.939994,, 40
Wk  41,3038,3477.802516,, 41
Wk  42,3025,3436.161017,, 42
Wk  43,2967.142857,2921.921489,, 43
Wk  44,2908,2837.457794,, 44
Wk  45,2890.571429,2781.705512,, 45
Wk  46,2862.857143,2829.043065,, 46
Wk  47,2886.857143,2886.178473,, 47
Wk  48,2844.142857,3397.699287,, 48
Wk  49,2733.714286,3108.289509,, 49
Wk  50,2679,2575.601532,, 50
Wk  51,2764.714286,2670.656671,, 51
Wk  52,2774.285714,2635.926208,, 52
Wk  53,2795,2847.938777,, 53
Wk  54,2779.714286,2591.398594,, 54
Wk  55,2800.142857,2807.953595,, 55
Wk  56,2894.571429,2820.319886,, 56
Wk  57,3001.714286,2909.250394,, 57
Wk  58,2988.428571,2794.223424,, 58
Wk  59,2998.285714,2745.438566,, 59
Wk  60,3019.857143,2840.360872,, 60
Wk  61,3040,2786.602573,, 61
Wk  62,3051.857143,3367.215576,, 62
Wk  63,3103.571429,3406.925394,, 63
Wk  64,3153.428571,2985.284507,, 64
Wk  65,3152.285714,2880.959376,, 65
Wk  66,3166.142857,2883.863737,, 66
Wk  67,3177,2980.197503,, 67
Wk  68,3189.714286,2921.409731,, 68
Wk  69,3214.428571,3667.496839,, 69
Wk  70,3163.428571,3687.99002,, 70
Wk  71,3129.142857,3047.134912,, 71
Wk  72,3144.714286,2964.331957,, 72
Wk  73,3169.142857,2960.877273,, 73
Wk  74,3201,3064.251468,, 74
Wk  75,3252.142857,2999.45856,, 75
Wk  76,3252.142857,3431.413999,, 76
Wk  77,3201.714286,3511.302857,, 77
Wk  78,3127,3115.095259,, 78
Wk  79,3128,3128.106107,, 79
Wk  80,3017.714286,3181.826666,, 80
Wk  81,2901,3325.666862,, 81
Wk  82,2794.428571,2990.515998,, 82
Wk  83,2736.571429,3128.831549,, 83
Wk  84,2724.714286,3088.087934,, 84
Wk  85,2690.285714,2906.255496,, 85
Wk  86,2615.428571,2463.065631,, 86
Wk  87,2621,2417.361836,, 87
Wk  88,2673.714286,2639.525935,, 88
Wk  89,2671.142857,2576.374999,, 89
Wk  90,2662,2952.288179,, 90
Wk  91,2680.571429,2838.570389,, 91
Wk  92,2684.714286,2539.886535,, 92
Wk  93,2687.714286,2464.743591,, 93
Wk  94,2707.571429,2652.444425,, 94
Wk  95,2661.142857,2670.66547,, 95
Wk  96,2687.857143,2557.586672,, 96
Wk  97,2714.571429,3033.033665,, 97
Wk  98,2745.571429,2873.916196,, 98
Wk  99,2815,2566.781351,, 99
Wk  100,2854.857143,2519.915165,, 100
Wk  101,2856.857143,2484.081895,, 101
Wk  102,2840.142857,2788.58995,, 102
Wk  103,2827.571429,2744.191235,, 103
Wk  104,2806.285714,3281.813708,, 104
Wk  105,2754.142857,3274.06506,, 105
Wk  106,2686.714286,2827.738076,, 106
Wk  107,2635.428571,2566.200946,, 107
Wk  108,2624.571429,2403.093594,, 108
Wk  109,2664,2685.030041,, 109
Wk  110,2615.571429,2565.692151,, 110
Wk  111,2598.571429,2939.519254,, 111
Wk  112,2596.142857,2852.584154,, 112
Wk  113,2606.142857,2504.925674,, 113
Wk  114,2605.714286,2475.414419,, 114
Wk  115,2590.714286,2512.756451,, 115
Wk  116,2563.857143,2474.718321,, 116
Wk  117,2610.142857,2448.63943,, 117
Wk  118,2596.714286,2916.694678,, 118
Wk  119,2571.714286,2893.228608,, 119
Wk  120,2521.857143,2498.692333,, 120
Wk  121,2509.428571,2394.066702,, 121
Wk  122,2476.714286,2416.151688,, 122
Wk  123,2471,2644.224154,, 123
Wk  124,2392.857143,2388.706063,, 124
Wk  125,2394.285714,2741.230557,, 125
Wk  126,2394.857143,2612.933373,, 126
Wk  127,2423.857143,2349.429804,, 127
Wk  128,2489.571429,2195.151366,, 128
Wk  129,2541.428571,2279.140332,, 129
Wk  130,2554.428571,2269.833302,, 130
Wk  131,2593.428571,2330.272086,, 131
Wk  132,2614.714286,2775.217082,, 132
Wk  133,2706.571429,2822.814882,, 133
Wk  134,2796.142857,2740.451233,, 134
Wk  135,2756.428571,2529.358128,, 135
Wk  136,2769.571429,2449.095404,, 136
Wk  137,2826,2517.221345,, 137
Wk  138,2872.857143,2570.65925,, 138
Wk  139,2904.714286,3305.355495,, 139
Wk  140,2904,3294.870689,, 140
Wk  141,2890.285714,2676.87756,, 141
Wk  142,2931.285714,2632.069077,, 142
Wk  143,2998.142857,2767.848094,, 143
Wk  144,3082.857143,2818.96714,, 144
Wk  145,3084.857143,2774.387974,, 145
Wk  146,3042.571429,3344.35381,, 146
Wk  147,3004.571429,3297.309697,, 147
Wk  148,3000.428571,2940.058801,, 148
Wk  149,2982.857143,3062.092061,, 149
Wk  150,2928,3227.980669,, 150
Wk  151,2850.142857,2875.208746,, 151
Wk  152,2853.857143,2558.74786,, 152
Wk  153,2931.142857,3118.408025,, 153
Wk  154,2988.428571,3201.004653,, 154
Wk  155,3020.857143,2775.404231,, 155
Wk  156,3051.714286,2714.138468,, 156
Wk  157,3062.142857,2827.30168,, 157
Wk  158,3045.714286,2892.338869,, 158
Wk  159,3027.714286,2968.130631,, 159
Wk  160,2974.714286,3494.96194,, 160
Wk  161,2975.428571,3454.572913,, 161
Wk  162,3102.857143,2974.031104,, 162
Wk  163,3148.142857,2784.484859,, 163
Wk  164,3191.142857,2745.313142,, 164
Wk  165,3240.142857,2753.146763,, 165
Wk  166,3296.857143,2726.918207,, 166
Wk  167,3369.571429,3570.972275,, 167
Wk  168,3373.857143,4086.497033,, 168
Wk  169,3271.285714,3348.964635,, 169
Wk  170,3202.428571,3105.149185,, 170
Wk  171,3140,3090.024237,, 171
Wk  172,3096.428571,3137.532735,, 172
Wk  173,3073.428571,3113.47982,, 173
Wk  174,3011.714286,3563.908762,, 174
Wk  175,2889.142857,3555.405469,, 175
Wk  176,2778.428571,2873.354858,, 176
Wk  177,2738.714286,2687.484905,, 177
Wk  178,2704.857143,2776.394241,, 178
Wk  179,2703.142857,2890.236889,, 179
Wk  180,2713.857143,2654.508685,, 180
Wk  181,2781,2812.464612,, 181
Wk  182,2912.714286,2863.562792,, 182
Wk  183,2991.857143,2523.075991,, 183
Wk  184,3090.142857,2466.13095,, 184
Wk  185,3227.285714,2749.464145,, 185
Wk  186,3319.714286,3020.276968,, 186
Wk  187,3428.285714,3119.828867,, 187
Wk  188,3474.714286,3592.899825,, 188
Wk  189,3472.857143,3495.366419,, 189
Wk  190,3479.428571,3237.729391,, 190
Wk  191,3461.571429,3330.73447,, 191
Wk  192,3388.857143,3444.1258,, 192
Wk  193,3249.428571,3686.858086,, 193
Wk  194,3098.857143,3457.596829,, 194
Wk  195,3020.428571,3647.817424,, 195
Wk  196,3005.428571,3496.255464,, 196
Wk  197,3007.285714,3057.39258,, 197
Wk  198,3002.142857,2810.57512,, 198
Wk  199,3023.142857,2564.137639,, 199
Wk  200,3104.857143,2763.4781,, 200
Wk  201,3150,2910.226386,, 201
Wk  202,3151,3476.419332,, 202
Wk  203,3151.714286,3476.85624,, 203
Wk  204,3127.857143,3069.942736,, 204
Wk  205,3116.142857,2992.023404,, 205
Wk  206,3100,3008.779579,, 206
Wk  207,3093.571429,3054.885467,, 207
Wk  208,3119.285714,2967.212407,, 208
Wk  209,3145.714286,3463.666381,, 209
Wk  210,3140.428571,3349.907644,, 210
Wk  211,3166.571429,2973.256355,, 211
Wk  212,3174.857143,2896.670693,, 212
Wk  213,3170.285714,2986.642581,, 213
Wk  214,3160.857143,3189.065313,, 214
Wk  215,3132.857143,3114.290139,, 215
Wk  216,3134,3497.440237,, 216
Wk  217,3176.857143,3483.965177,, 217
Wk  218,3190.714286,3034.779069,, 218
Wk  219,3230.428571,2878.977832,, 219
Wk  220,3254.857143,2919.783981,, 220
Wk  221,3297,3060.129896,, 221
Wk  222,3330.142857,3134.465538,, 222
Wk  223,3333.285714,3710.79729,, 223
Wk  224,3304.285714,3626.295865,, 224
Wk  225,3246.714286,3267.379235,, 225
Wk  226,3204.142857,3074.94503,, 226
Wk  227,3201.857143,3174.348088,, 227
Wk  228,3179.285714,3254.476328,, 228
Wk  229,3115,3151.225904,, 229
Wk  230,3099.571429,3528.024158,, 230
Wk  231,3121.714286,3296.34074,, 231
Wk  232,3194.714286,3006.54863,, 232
Wk  233,3197.571429,2983.888372,, 233
Wk  234,3179.285714,2998.057853,, 234
Wk  235,3216,2924.437108,, 235
Wk  236,3288.857143,3047.356303,, 236
Wk  237,3322.428571,3668.731183,, 237
Wk  238,3320.285714,3648.201417,, 238
Wk  239,3336.285714,3078.625594,, 239
Wk  240,3363.428571,2960.215976,, 240
Wk  241,3411,3227.014393,, 241
Wk  242,3406.428571,3326.738663,, 242
Wk  243,3403.714286,3282.201634,, 243
Wk  244,3387.857143,3730.394426,, 244
Wk  245,3385,3769.059719,, 245
Wk  246,3344.285714,3270.239943,, 246
Wk  247,3352.571429,3209.820559,, 247
Wk  248,3369.571429,3253.002011,, 248
Wk  249,3427.285714,3303.909447,, 249
Wk  250,3488.285714,3195.599833,, 250
Wk  251,3566.428571,3663.077562,, 251
Wk  252,3536.571429,3582.262103,, 252
Wk  253,3490.285714,3293.908618,, 253
Wk  254,3462.714286,3352.358743,, 254
Wk  255,3442.714286,3605.080763,, 255
Wk  256,3431.571429,3710.078554,, 256
Wk  257,3423.571429,3592.154577,, 257
Wk  258,3310,3564.886881,, 258
Wk  259,3096.714286,3330.625758,, 259
Wk  260,2909.142857,3102.96217,, 260
Wk  261,2778.571429,3210.737882,, 261
Wk  262,2615.714286,3492.027754,, 262
Wk  263,2419.714286,3503.6057,, 263
Wk  264,2166.857143,2809.531382,, 264
Wk  265,1991.428571,2250.822926,, 265
Wk  266,1930.285714,2068.069978,, 266
Wk  267,1976.142857,2069.51873,, 267
Wk  268,2043.285714,2043.313906,, 268
Wk  269,2116.428571,2118.732483,, 269
Wk  270,2171.142857,1930.480355,, 270
Wk  271,2253.714286,1667.323917,, 271
Wk  272,2429.285714,1807.970614,, 272
Wk  273,2715.571429,2265.02985,, 273
Wk  274,2886.428571,2493.925405,, 274
Wk  275,2910.285714,2531.816295,, 275
Wk  276,2920.285714,2580.788627,, 276
Wk  277,2872.714286,2608.095028,, 277
Wk  278,2861,2875.510897,, 278
Wk  279,2823.142857,3485.567801,, 279
Wk  280,2808.571429,3383.022391,, 280
Wk  281,2835.571429,2820.173082,, 281
Wk  282,2836.142857,2592.212617,, 282
Wk  283,2857.285714,2360.286671,, 283
Wk  284,2913.142857,2475.721094,, 284
Wk  285,2975.285714,2673.322976,, 285
Wk  286,3003.142857,3408.698618,, 286
Wk  287,3008.428571,3499.469263,, 287
Wk  288,2965.285714,2881.807333,, 288
Wk  289,2921.571429,2764.965476,, 289
Wk  290,2918,2707.529247,, 290
Wk  291,2950.428571,2847.70052,, 291
Wk  292,2951,2866.269885,, 292
Wk  293,2950,3421.294244,, 293
Wk  294,2953.714286,3266.03405,, 294
Wk  295,2987.571429,2637.747552,, 295
Wk  296,3064.428571,2725.776581,, 296
Wk  297,3049.714286,2843.53687,, 297
Wk  298,3009.571429,2878.821824,, 298
Wk  299,3006.857143,2881.759628,, 299
Wk  300,2995.857143,3487.660174,, 300
Wk  301,2992.142857,3499.870007,, 301
Wk  302,2970.142857,3012.266478,, 302
Wk  303,2969.857143,2701.582569,, 303
Wk  304,2999,2656.425466,, 304
Wk  305,3062,2818.114894,, 305
Wk  306,3116.285714,2811.678316,, 306
Wk  307,3137.142857,3435.506587,, 307
Wk  308,3020,3394.385976,, 308
Wk  309,2886.285714,3024.90512,, 309
Wk  310,2806.571429,2896.952132,, 310
Wk  311,2803.714286,3022.580087,, 311
Wk  312,2789.285714,3126.475727,, 312
Wk  313,2659.714286,2836.465333,, 313
Wk  314,2586.142857,2784.833775,, 314
Wk  315,2612.428571,2596.215747,, 315
Wk  316,2701.571429,2502.202116,, 316
Wk  317,2770.714286,2744.396843,, 317
Wk  318,2757,2801.756033,, 318
Wk  319,2756.142857,2444.992273,, 319
Wk  320,2857.142857,2410.951668,, 320
Wk  321,2952.428571,2905.972656,, 321
Wk  322,3087.571429,3075.657407,, 322
Wk  323,3170.571429,2895.518636,, 323
Wk  324,3173.714286,2780.232828,, 324
Wk  325,3224.571429,2916.233664,, 325
Wk  326,3247,3032.585928,, 326
Wk  327,3256.428571,3093.509359,, 327
Wk  328,3295.428571,3727.887162,, 328
Wk  329,3312.571429,3628.94333,, 329
Wk  330,3333.857143,3075.077338,, 330
Wk  331,3368.142857,3070.742753,, 331
Wk  332,3386.857143,3093.20741,, 332
Wk  333,3406.142857,3149.569648,, 333
Wk  334,3450.714286,3310.396875,, 334
Wk  335,3437.428571,3870.921887,, 335
Wk  336,3427.428571,3783.772478,, 336
Wk  337,3409.857143,3276.989422,, 337
Wk  338,3411,3216.155453,, 338
Wk  339,3391.285714,3243.678576,, 339
Wk  340,3378.142857,3364.617019,, 340
Wk  341,3354.857143,3283.492077,, 341
Wk  342,3349.428571,3807.664932,, 342
Wk  343,3367.714286,3693.502627,, 343
Wk  344,3378.571429,3247.416273,, 344
Wk  345,3356,3109.512633,, 345
Wk  346,3348.142857,3144.407894,, 346
Wk  347,3362.714286,3239.358425,, 347
Wk  348,3388.857143,3249.898439,, 348
Wk  349,3412.714286,3885.027093,, 349
Wk  350,3369.428571,3732.46338,, 350
Wk  351,3322.857143,3146.520924,, 351
Wk  352,3314.142857,3068.831223,, 352
Wk  353,3249.571429,3225.199081,, 353
Wk  354,3306.857143,3384.136212,, 354
Wk  355,3268,3339.476442,, 355
Wk  356,3173.285714,3667.204219,, 356
Wk  357,3022.428571,3466.772002,, 357
Wk  358,3004.142857,3008.640844,, 358
Wk  359,2941.857143,2795.610937,, 359
Wk  360,2925,3371.336958,, 360
Wk  361,2785.714286,3126.488599,, 361
Wk  362,2742.142857,2721.088437,, 362
Wk  363,2821.714286,2835.617966,, 363
Wk  364,3017,3150.008871,, 364
Wk  365,3103.142857,2621.26925,, 365
Wk  366,3204,2510.664551,, 366
Wk  367,3293,2671.864781,, 367
Wk  368,3345.428571,2901.555202,, 368
Wk  369,3403.571429,3228.832277,, 369
Wk  370,3395.571429,3913.682316,, 370
Wk  371,3385.428571,3864.555371,, 371
Wk  372,3384.857143,3311.418013,, 372
Wk  373,3371.857143,3107.936454,, 373
Wk  374,3369.142857,3078.605152,, 374
Wk  375,3348.857143,3234.362678,, 375
Wk  376,3348.285714,3248.306,, 376
Wk  377,3332.428571,3865.810152,, 377
Wk  378,3330.571429,3835.284542,, 378
Wk  379,3270.714286,3236.83604,, 379
Wk  380,3265.428571,3058.330393,, 380
Wk  381,3268.142857,2971.930899,, 381
Wk  382,3314.714286,3193.472488,, 382
Wk  383,3366,3158.261595,, 383
Wk  384,3384.857143,3788.22057,, 384
Wk  385,3236.428571,3551.944971,, 385
Wk  386,3115.857143,3163.787163,, 386
Wk  387,3097.142857,3062.665491,, 387
Wk  388,3044.571429,3103.997969,, 388
Wk  389,2927.428571,3162.62,, 389
Wk  390,2816.714286,3081.452647,, 390
Wk  391,2755.285714,3516.75,, 391
Wk  392,2850.428571,3473.68,, 392
Wk  393,2996.714286,3085.075459,, 393
Wk  394,3001.571429,2995.72,, 394
Wk  395,3034,3064.40,, 395
Wk  396,3093.571429,3160.54,, 396
Wk  397,3090,3119.64,, 397
Wk  398,3101.142857,3589.95017,, 398
Wk  399,3152.428571,3569.730781,, 399
Wk  400,3179.571429,3187.273777,, 400
Wk  401,3173.571429,3086.152105,, 401
Wk  402,3189.714286,3127.48,, 402
Wk  403,3217.285714,3186.10,, 403
Wk  404,3257.571429,3104.939262,, 404
Wk  405,3240,3540.234485,, 405
Wk  406,3205.428571,3497.168177,, 406
Wk  407,3176.142857,3108.562074,, 407
Wk  408,3183.571429,3019.207026,, 408
Wk  409,3186,3087.891329,, 409
Wk  410,3048.571429,3184.029084,, 410
Wk  411,2767,3143.12,, 411
Wk  412,3650,3613.436785,, 412
Wk  413,3651,3593.217396,, 413
Wk  414,3075,3210.760392,, 414
Wk  415,3087,3109.63872,, 415
Wk  416,2038,3150.97,, 416